序号,功能 | Function,子项 | Subitem,描述 | Describe,工时评估（日）,费用评估（元）
1,需求分析,|,"1. 沟通了解项目需求
2. 整理需求，设计功能逻辑结构
3. 构思设计方案，构思实现形式和可行性评估、评估开发周期",2,"2,000"
费用小计  Subtotal,,,,2,"2,000"
,,,,,
序号,功能 | Function,子项 | Subitem,描述 | Describe,工时评估（日）,费用评估（元）
1,Logo设计,|,设计APP Logo（包含多个尺寸），由客户提供设计方向,2,"2,000"
2,原型设计,|,"根据需求设计所有前端的页面原型
原型实现基本的页面跳转和交互",2,"2,000"
3,UI / UE设计,iOS,"1. 视觉风格设计
2. 视觉内页设计
3 .页面设计方案需同时兼容Apple手机iphone5以上机型，确保兼容iOS9.x以上系统版本",3,"3,000"
,,Android,"1. 页面跟iOS的设计大部分一致，根据Android设备的规范及特性做特殊适配处理
2. 兼容市面上主流的安卓品牌机型和主流的安卓系统（由于安卓系统开源，自定义程度高，不确定性比较高）",2,"2,000"
费用小计  Subtotal,,,,9,"9,000"
,,,,,
序号,功能 | Function,子项 | Subitem,描述 | Describe,工时评估（日）,费用评估（元）
1,基础功能,框架搭建,搭建项目的框架，包括代码的框架和UI的框架,1,"1,000"
,,API,通过网络获取后台服务器的数据，并将每一条API接口转换成数据对象,3,"3,000"
2,用户登录,用户登录,通过填写手机号码和密码登录系统,0.5,500
,,注册 | 忘记密码,用户可以通过手机号码注册，也可以通过手机手机收短信验证码修改密码,1,"1,000"
3,订单管理,订单列表,订单分为4种状态，分别是待确认，待付款，待发货，已完成。订单列表分四个标签栏显示,1,"1,000"
,,订单详情,显示订单的详细信息，包含订单商品明细，订单金额，收货人信息，备注，订单编号，物流单号等信息。不同订单状态显示的详情信息略有不同,1,"1,000"
4,推送,|,"1. 整合极光推送的第三方推送服务
2. 接收服务端的推送消息，并相应显示在标题栏或实现提供及跳转的相关功能",1,"1,000"
5,测试联调,项目测试,单元测试，集成测试。测试不同设备，不同系统，不同分辨率的软件运行情况。,2,"2,000"
,,项目调试,适配不同的手机分辨率，迭代开发，修复测试人员找到的各种问题,2,"2,000"
6,上线支持,发布与上线,发布版本，协助App上线到 APPSTORE,1,"1,000"
,,维护,提供三个月的免费维护期，不包括优化和非合同需求bug,0,0
费用小计  Subtotal,,,,13.5,"13,500"
,,,,,
序号,功能 | Function,子项 | Subitem,描述 | Describe,工时评估（日）,费用评估（元）
1,基础功能,框架搭建,搭建项目的框架，包括代码的框架和UI的框架,1,"1,000"
,,API,通过网络获取后台服务器的数据，并将每一条API接口转换成数据对象,3,"3,000"
2,用户登录,用户登录,通过填写手机号码和密码登录系统,0.5,500
,,注册 | 忘记密码,用户可以通过手机号码注册，也可以通过手机手机收短信验证码修改密码,1,"1,000"
3,订单管理,订单列表,订单分为4种状态，分别是待确认，待付款，待发货，已完成。订单列表分四个标签栏显示,1,"1,000"
,,订单详情,显示订单的详细信息，包含订单商品明细，订单金额，收货人信息，备注，订单编号，物流单号等信息。不同订单状态显示的详情信息略有不同,1,"1,000"
4,推送,|,"1. 整合极光推送的第三方推送服务
2. 接收服务端的推送消息，并相应显示在标题栏或实现提供及跳转的相关功能",0.5,500
5,测试联调,项目测试,单元测试，集成测试。测试不同设备，不同系统，不同分辨率的软件运行情况。,2,"2,000"
,,项目调试,适配不同的手机分辨率，迭代开发，修复测试人员找到的各种问题,2,"2,000"
6,上线支持,发布与上线,发布版本，协助App上线到 应用宝,1,"1,000"
,,维护,提供三个月的免费维护期，不包括优化和非合同需求bug,0,0
费用小计  Subtotal,,,,13,"13,000"
,,,,,
序号,功能 | Function,子项 | Subitem,描述 | Describe,工时评估（日）,费用评估（元）
1,基础功能,框架搭建,搭建项目的框架，包括代码的框架和UI的框架,1,"1,000"
,,API设计 & 实现,设计APP跟后台的API数据接口，并实现这些接口的业务逻辑及数据的获取提供给APP调用,3,"3,000"
,,数据库设计,设计数据库，并生成数据库的字典文档,1,"1,000"
2,用户管理,|,注册用户的增加，修改，删除，列表查看功能。,1,"1,000"
3,订单列表,订单管理,用户下的所有订单，可以在这里进行查看。并可以对订单进行确认，修改，发货操作,1,"1,000"
4,测试联调,项目测试,单元测试，集成测试。测试不同浏览器上运行后台的测试,2,"2,000"
,,项目调试,根据测试人员收集到问题，修复找到的各种问题,2,"2,000"
5,上线支持,发布,将后台部署到客户阿里云的服务器上面,1,"1,000"
