功能模块,子功能/页面,子功能/页面描述,开发工作量(天),单价(元/天),费用(元)
登录页,登录页(login/index),账号密码与短信验证码双登录方式,4,1000,4000
数据看板,仪表盘(dashboard/index),首页核心运营KPI看板、多维度时段过滤、统计图表,6,1000,6000
预约管理,预约列表(appointment/index),全店预约挂号列表、门店/状态过滤,5,1000,5000
预约管理,新建预约(appointment/create),前台手动挂号、查询患者或快捷建档表单,4,1000,4000
预约管理,预约详情(appointment/detail),到诊一键签到及病情主诉展示,4,1000,4000
预约管理,就诊工作台(appointment/workbench),实时就诊叫号、候诊管理,5,1000,5000
预约管理,预约队列(appointment/queue),预约排队管理、叫号队列,4,1000,4000
预约管理,结算(appointment/checkout),就诊结算、费用收取,4,1000,4000
预约管理,电子病历(appointment/emr),门诊电子病历查看与管理,5,1000,5000
患者管理,患者列表(patient/index),患者档案列表、筛选、搜索,4,1000,4000
患者管理,患者详情(patient/detail),患者设备佩戴时长及AHI指标趋势图表、病历时间线、就诊历史,6,1000,6000
患者管理,随访管理(patient/followup),患者随访任务管理,5,1000,5000
医生管理,医生列表(doctor/index),医生档案管理与启用状态设置,4,1000,4000
医生管理,排班管理(doctor/schedule),周排班周历网格展示与弹窗编辑,6,1000,6000
门店管理,门店列表(store/index),门店信息增删改查,4,1000,4000
门店管理,门店报表(store/report),门店营收排行与接诊负荷统计报表,4,1000,4000
订单管理,订单列表(order/index),全网商城购物订单明细列表,4,1000,4000
订单管理,订单详情(order/detail),订单明细、价格组成、分销佣金及物流录入弹窗,5,1000,5000
订单管理,退款审核(order/refund),审核用户商城退款申请,4,1000,4000
分销管理,分销列表(distribution/index),分销商管理列表,4,1000,4000
分销管理,分销商详情(distribution/detail),单个分销商详细信息及业绩,4,1000,4000
分销管理,推广员管理(distribution/promoter),冻结或解封违规分销人员资格,4,1000,4000
分销管理,分销商品(distribution/products),参与分销的商品配置,3,1000,3000
分销管理,提现审核(distribution/withdraw),分销商提现单据列表、弹窗审核通过/驳回,5,1000,5000
内容管理,社区列表(content/index),用户社区发帖列表、审核状态管理,4,1000,4000
内容管理,帖子编辑(content/edit),帖子编辑、审核处理,3,1000,3000
内容管理,Banner管理(content/banner),首页活动轮播Banner图片广告位资源管理,3,1000,3000
系统设置,系统设置首页(settings/index),系统基础配置入口,2,1000,2000
系统设置,管理员管理(settings/admin),添加、修改及注销后台管理员账号,4,1000,4000
系统设置,角色管理(settings/role-edit),系统角色及权限配置矩阵,5,1000,5000
系统设置,权限管理(settings/permission),角色权限资源配置,4,1000,4000
系统设置,操作日志(settings/log),系统全局管理员审计追踪日志表,4,1000,4000
合计,,管理后台端总计（10个模块，32个页面）,126,1000,126000
