API模块,接口功能,接口描述,开发工作量(天),单价(元/天),费用(元)
管理员登录与系统角色,后台登录接口,POST /api/v1/admin/auth/login - 后台人员账号密码登录,3,1000,3000
管理员登录与系统角色,权限路由接口,GET /api/v1/admin/auth/routes - 获取当前登录管理员的资源权限路由树,3,1000,3000
管理员登录与系统角色,角色管理接口,GET/POST/PUT/DELETE /api/v1/admin/system/roles - 查询、添加、修改系统角色及权限配置矩阵,5,1000,5000
管理员登录与系统角色,管理员账号接口,GET/POST/PUT/DELETE /api/v1/admin/system/users - 添加、修改及注销后台管理员账号,4,1000,4000
监控看板与运营数据,KPI看板接口,GET /api/v1/admin/dashboard/kpi - 获取首页核心运营KPI看板指标（多维度时段过滤切换）,5,1000,5000
监控看板与运营数据,统计报表接口,GET /api/v1/admin/dashboard/reports - 获取各分店本月营收排行与接诊负荷统计报表,4,1000,4000
监控看板与运营数据,数据导出接口,GET /api/v1/admin/data/export - 导出患者、订单、分销提现Excel数据表格,4,1000,4000
门店与医生基础档案,门店管理接口,GET/POST/PUT/DELETE /api/v1/admin/stores - 新增、修改或关闭门店基本信息,5,1000,5000
门店与医生基础档案,医生管理接口,GET/POST/PUT/DELETE /api/v1/admin/doctors - 医生档案管理与启用状态设置,5,1000,5000
门店与医生基础档案,医生门店绑定接口,POST /api/v1/admin/doctors/bind-stores - 配置医生与执业门店关联执照,3,1000,3000
门诊挂号排班与预约管理,排班批量保存接口,POST /api/v1/admin/doctors/schedules/batch-save - 批量复制与录入医生工作排班号源,6,1000,6000
门诊挂号排班与预约管理,排班查询接口,GET /api/v1/admin/doctors/schedules - 查询排班列表与已约满号源预警,4,1000,4000
门诊挂号排班与预约管理,预约列表接口,GET /api/v1/admin/appointments - 查询全店预约挂号列表（支持门店/就诊状态过滤）,4,1000,4000
门诊挂号排班与预约管理,预约状态更新接口,PUT /api/v1/admin/appointments/{id}/status - 更新挂号就诊预约状态（已确认、呼叫叫号候诊、确认到诊等状态流转）,4,1000,4000
随访服务任务分发与执行,随访任务创建接口,POST /api/v1/admin/treatment/follow-up-tasks - 制定并派发出诊后随访任务单给对应医生/睡眠专家,5,1000,5000
随访服务任务分发与执行,随访反馈接口,PUT /api/v1/admin/treatment/follow-up-tasks/{id}/feedback - 录入电话/微信随访患者的打卡依从性沟通总结反馈,4,1000,4000
随访服务任务分发与执行,随访任务查询接口,GET /api/v1/admin/treatment/follow-up-tasks - 查询随访人员的历史任务追踪列表,4,1000,4000
诊所病历与阻鼾参数微调,电子病历接口,POST/PUT /api/v1/admin/medical-records - 新建或更新门诊电子病历，开具阻鼾器疗程处方,6,1000,6000
诊所病历与阻鼾参数微调,治疗建档接口,POST /api/v1/admin/treatment/register - 新建患者阻鼾治疗器械配戴建档档案,5,1000,5000
诊所病历与阻鼾参数微调,参数微调接口,POST /api/v1/admin/treatment/adjustments - 录入医生对阻鼾器下颌前移量的实体微调刻度记录,4,1000,4000
商城订单与发货管理,商品管理接口,GET/POST/PUT/DELETE /api/v1/admin/products - 商城实物商品及医疗服务卡券上架、下架及库存录入,5,1000,5000
商城订单与发货管理,订单查询接口,GET /api/v1/admin/orders - 查询全网商城购物订单明细列表,4,1000,4000
商城订单与发货管理,订单发货接口,POST /api/v1/admin/orders/{id}/ship - 录入订单物流单号进行发货标记,3,1000,3000
商城订单与发货管理,退款审核接口,POST /api/v1/admin/orders/{id}/refund-audit - 审核用户的商城退款申请订单,4,1000,4000
佣金结算与提现批量审批,提现批量审批接口,POST /api/v1/admin/withdrawals/batch-approve - 批量审批并下发推广员提现打款流水至微信零钱/银行卡,6,1000,6000
佣金结算与提现批量审批,分销状态接口,PUT /api/v1/admin/distributors/{id}/status - 冻结或解封违规推广分销人员资格,3,1000,3000
佣金结算与提现批量审批,分销账单接口,GET /api/v1/admin/distribution/bills - 查询全网分销提成收益及分销账单明细汇总,4,1000,4000
论坛运营审核与营销广告,帖子审核接口,PUT /api/v1/admin/community/posts/{id}/status - 人工审核用户社区发帖或屏蔽违规敏感言论,4,1000,4000
论坛运营审核与营销广告,帖子操作接口,POST /api/v1/admin/community/posts/{id}/action - 执行社区热帖置顶或删除违规言论回复,3,1000,3000
论坛运营审核与营销广告,Banner管理接口,GET/POST/PUT/DELETE /api/v1/system/banners - 更新微信小程序首页活动轮播Banner图片广告位资源,4,1000,4000
合计,,管理后台端API总计（9个模块，31个接口）,131,1000,131000
