序号,功能 | Function,子项 | Subitem,描述 | Describe,工时评估（日）,费用评估（元）
1,需求分析,|,"1. 沟通了解项目需求，明确业务目标
2. 整理需求，设计功能逻辑结构和数据流程
3. 构思设计方案，评估技术实现可行性和开发周期
4. 输出需求规格说明书和技术方案文档",1.0,"500"
费用小计  Subtotal,,,,1.0,"500"

序号,功能 | Function,子项 | Subitem,描述 | Describe,工时评估（日）,费用评估（元）
1,Logo设计,|,设计诊所品牌Logo（包含多个尺寸和应用场景），由客户提供设计方向和品牌调性,0.5,"250"
2,原型设计,|,"根据需求设计所有前端页面原型
原型实现基本的页面跳转和交互逻辑
输出交互原型文档",1.0,"500"
3,UI / UE设计,微信小程序,"1. 视觉风格设计，制定设计规范
2. 小程序首页、预约、评估、商城等核心页面设计
3. 组件库设计（按钮、卡片、表单等）
4. 设计方案需兼容不同尺寸的手机屏幕",1.5,"750"
,,管理后台,"1. 后台管理系统视觉风格设计
2. 数据看板、表格、表单等组件设计
3. 响应式布局设计，适配不同屏幕尺寸",1.0,"500"
费用小计  Subtotal,,,,4.0,"2,000"

序号,功能 | Function,子项 | Subitem,描述 | Describe,工时评估（日）,费用评估（元）
1,首页,首页(index),小程序首页综合展示，整合预约入口、评估入口、商城入口、直播入口等核心功能,0.5,"250"
2,身份认证,登录页(auth/login),微信授权快捷登录页面，获取用户OpenID并创建账户,0.5,"250"
3,预约挂号,预约首页(appointment/index),预约挂号主入口页面，展示预约流程导航,0.5,"250"
,,门店选择(appointment/store-select),服务门店列表展示，支持定位排序与距离计算,0.5,"250"
,,医生详情(appointment/doctor-detail),医生信息展示，包含职称、专科方向、经验、评分等,0.5,"250"
,,时间选择(appointment/time-select),医生排班号源时段选择，展示可预约时段,0.5,"250"
,,预约确认(appointment/confirm),确认预约信息，选择就诊患者，提交预约申请,0.5,"250"
,,预约成功(appointment/success),预约成功页面，展示预约号和就诊提醒,0.5,"250"
,,预约详情(appointment/detail),查看预约详情及状态变更记录,0.5,"250"
,,改约(appointment/reschedule),预约改约，重新选择就诊时间,0.5,"250"
4,睡眠评估,评估首页(assessment/index),睡眠评估入口及类型选择（ESS量表/鼾声录音）,0.5,"250"
,,ESS问卷(assessment/questionnaire),ESS嗜睡自测量表答题页面，共8道题目,0.5,"250"
,,鼾声录音(assessment/recording),AI鼾声录音分析上传页面，支持录音和上传,-,-
,,评估结果(assessment/result),ESS评估结果展示页面，显示得分和风险等级,0.5,"250"
,,鼾声结果(assessment/snore-result),AI鼾声分析结果展示页面，显示分贝、暂停事件等,-,-
5,治疗追踪,治疗首页(treatment/index),阻鼾器治疗追踪主页面，展示治疗进度概览,0.5,"250"
,,睡眠趋势(treatment/sleep-trend),睡眠趋势图表展示，使用折线图展示佩戴时长变化,0.5,"250"
,,睡眠报告(treatment/sleep-report),周期性睡眠健康报告，含同类比对与医嘱总结,0.5,"250"
,,时间线(treatment/timeline),治疗时间线动态事件展示，记录治疗关键节点,0.5,"250"
,,调整详情(treatment/adjust-detail),阻鼾器参数调整记录详情，展示调整历史,0.5,"250"
,,医生建议(treatment/doctor-advice),医生医嘱及健康指引展示,0.5,"250"
6,商城购物,商品列表(product/index),商城商品列表展示，支持分类筛选和搜索,0.5,"250"
,,商品详情(product/detail),商品规格、价格、详情信息展示，支持加入购物车,0.5,"250"
,,订单列表(order/index),个人历史商城订单列表，支持状态筛选,0.5,"250"
,,订单详情(order/detail),订单明细、价格组成、物流信息展示,0.5,"250"
