端,功能模块,子功能/页面,子功能/页面描述,开发工作量(天),单价(元/天),费用(元)
微信小程序端,首页,首页(index),小程序首页综合展示，整合预约入口、评估入口、商城入口、直播入口等,5,1000,5000
微信小程序端,身份认证,登录页(auth/login),微信授权快捷登录页面,3,1000,3000
微信小程序端,预约挂号,预约首页(appointment/index),预约挂号主入口页面,3,1000,3000
微信小程序端,预约挂号,门店选择(appointment/store-select),服务门店列表及定位选择,3,1000,3000
微信小程序端,预约挂号,医生详情(appointment/doctor-detail),医生信息、职称、出诊时间展示,3,1000,3000
微信小程序端,预约挂号,时间选择(appointment/time-select),医生排班号源时段选择,4,1000,4000
微信小程序端,预约挂号,预约确认(appointment/confirm),确认预约信息并提交,3,1000,3000
微信小程序端,预约挂号,预约成功(appointment/success),预约成功页面展示,2,1000,2000
微信小程序端,预约挂号,预约详情(appointment/detail),查看预约详情及状态,3,1000,3000
微信小程序端,预约挂号,改约(appointment/reschedule),预约改约修改号段,3,1000,3000
微信小程序端,睡眠评估,评估首页(assessment/index),睡眠评估入口及类型选择,3,1000,3000
微信小程序端,睡眠评估,ESS问卷(assessment/questionnaire/index),ESS嗜睡自测量表答题页面,4,1000,4000
微信小程序端,睡眠评估,鼾声录音(assessment/recording/index),AI鼾声录音分析上传页面,4,1000,4000
微信小程序端,睡眠评估,评估结果(assessment/result/index),ESS评估结果展示页面,3,1000,3000
微信小程序端,睡眠评估,鼾声结果(assessment/snore-result/index),AI鼾声分析结果展示页面,4,1000,4000
微信小程序端,治疗追踪,治疗首页(treatment/index),阻鼾器治疗追踪主页面,3,1000,3000
微信小程序端,治疗追踪,睡眠趋势(treatment/sleep-trend/index),睡眠趋势图表展示,4,1000,4000
微信小程序端,治疗追踪,睡眠报告(treatment/sleep-report/index),周期性睡眠健康报告,4,1000,4000
微信小程序端,治疗追踪,时间线(treatment/timeline/index),治疗时间线动态事件展示,3,1000,3000
微信小程序端,治疗追踪,调整详情(treatment/adjust-detail/index),阻鼾器参数调整记录详情,3,1000,3000
微信小程序端,治疗追踪,医生建议(treatment/doctor-advice/index),医生医嘱及健康指引,3,1000,3000
微信小程序端,商城购物,商品列表(product/index),商城商品列表展示及筛选,4,1000,4000
微信小程序端,商城购物,商品详情(product/detail/index),商品规格、价格、详情信息展示,4,1000,4000
微信小程序端,商城购物,订单列表(order/index),个人历史商城订单列表,3,1000,3000
微信小程序端,商城购物,订单详情(order/detail),订单明细、价格组成、物流信息,3,1000,3000
微信小程序端,分销中心,分销首页(distribution/center/index),推广员分销资格及中心入口,4,1000,4000
微信小程序端,分销中心,邀请海报(distribution/invite/index),专属裂变码海报生成及分享,3,1000,3000
微信小程序端,分销中心,佣金明细(distribution/commission/index),分销提成收益明细查询,3,1000,3000
微信小程序端,分销中心,团队管理(distribution/team/index),推广团下线成员结构展示,4,1000,4000
微信小程序端,分销中心,分销商品(distribution/products/index),参与分销的商品列表,3,1000,3000
微信小程序端,分销中心,分销规则(distribution/rules/index),分销规则说明页面,2,1000,2000
微信小程序端,分销中心,提现申请(distribution/withdraw/index),佣金提现申请(微信零钱/银行卡),4,1000,4000
微信小程序端,分销中心,提现记录(distribution/withdraw-records/index),提现打款历史记录查询,3,1000,3000
微信小程序端,直播社区,直播列表(live/list/index),科普/义诊直播间列表(预告+回放),4,1000,4000
微信小程序端,直播社区,直播回放(live/playback/index),直播视频回放点播页面,3,1000,3000
微信小程序端,直播社区,社区首页(community/index),社区论坛帖子列表(最新/热门/专家贴),4,1000,4000
微信小程序端,直播社区,帖子详情(community/detail/index),帖子正文及评论回复区,4,1000,4000
微信小程序端,直播社区,发帖(community/publish/index),发表阻鼾/打鼾改善日常讨论帖子,4,1000,4000
微信小程序端,个人中心,个人中心首页(profile/index),用户个人信息、功能入口聚合,4,1000,4000
微信小程序端,个人中心,家庭成员管理(profile/family-members/index),就诊患者/家庭成员列表及增删改,4,1000,4000
微信小程序端,个人中心,添加成员(profile/family-members/add-member/index),绑定新的就诊家庭成员表单,3,1000,3000
微信小程序端,个人中心,设备管理(profile/device-manage/index),阻鼾器设备管理首页,3,1000,3000
